dict_id,direction,direction_known,parcor_has_examples_in_source,parcor_source_example_rate,prep_rows,billex_rows,billex_null_rate,billex_multiword_ind_rate,morph_rows,morph_tag_coverage,parcor_rows,parcor_null_rate,parcor_placeholder_rate,parcor_short_rate,billex_fixed_rows,billex_fixed_null_rate,billex_fixed_multiword_ind_rate,morph_fixed_rows,morph_fixed_tag_coverage,parcor_fixed_rows,parcor_fixed_null_rate,parcor_fixed_placeholder_rate,parcor_fixed_short_rate,billex_violations_prefix,billex_tier_prefix,morph_violations_prefix,morph_tier_prefix,parcor_violations_prefix,parcor_tier_prefix,overall_tier_prefix,billex_violations_postfix,billex_tier_postfix,morph_violations_postfix,morph_tier_postfix,parcor_violations_postfix,parcor_tier_postfix,overall_tier_postfix
56,0,True,True,0.7616,3116,13,0.0,0.4615,1,0.0,2347,0.0166,0.4879,0.193,13,0.0,0.4615,1,1.0,2347,0.0166,0.006,0.193,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,,good,broken,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,,good,needs_attention
57,0,True,True,0.6004,2620,9,0.1111,0.6667,3,0.0,1529,0.0249,0.2923,0.1923,9,0.1111,0.6667,3,0.6667,1529,0.0249,0.0124,0.1923,billex_too_few_rows;billex_high_null_rate,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows;billex_high_null_rate,broken,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,broken
58,0,True,True,0.2981,5237,34,0.0588,0.8235,9,0.0,1532,0.1286,0.0163,0.6044,34,0.0588,0.8235,9,0.2222,1532,0.1286,0.0,0.6044,billex_too_few_rows;billex_high_null_rate;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,broken,broken,billex_too_few_rows;billex_high_null_rate;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,broken,broken
60,0,True,True,0.6458,1643,105,0.0,0.9333,7,0.0,942,0.0297,0.2834,0.2972,105,0.0,0.9333,7,0.1429,942,0.0297,0.0042,0.2972,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken
61,0,True,True,0.3996,2793,3,0.0,0.6667,2,0.0,1090,0.0615,0.2266,0.5193,3,0.0,0.6667,2,0.0,1090,0.0615,0.0138,0.5193,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows;parcor_high_short_rows,broken,broken,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows;parcor_high_short_rows,broken,broken
62,0,True,True,0.4253,8739,92,0.0,0.8913,63,0.0635,3632,0.1176,0.2384,0.5694,92,0.0,0.8913,63,0.2381,3632,0.1176,0.0088,0.5694,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_high_null_rate;parcor_high_short_rows,broken,broken,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_high_null_rate;parcor_high_short_rows,broken,broken
63,1,True,True,0.857,1084,256,0.0,0.1172,53,0.2453,825,0.0158,0.6109,0.1952,256,0.0,0.0977,53,0.6981,825,0.0158,0.0097,0.1952,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
66,0,True,True,0.6132,1657,2,0.0,1.0,6,0.0,1003,0.0169,0.3749,0.2433,2,0.0,1.0,6,0.1667,1003,0.0169,0.007,0.2433,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken
67,0,True,True,0.1678,3135,162,0.0062,0.4444,65,0.0769,511,0.1233,0.4834,0.5401,162,0.0062,0.4444,65,0.1077,511,0.1233,0.0372,0.5401,billex_too_few_rows;billex_high_null_rate,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,broken,broken,billex_too_few_rows;billex_high_null_rate,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,broken,broken
68,0,True,True,0.2711,7546,6936,0.0016,0.0283,2343,0.9646,2044,0.0073,0.0088,0.2642,6936,0.0016,0.0283,2343,0.9838,2044,0.0073,0.0,0.2642,,good,,good,,good,good,,good,,good,,good,good
